date,groupes,genre,renouveau,statut,duree,ministre,theme,total
2017-07-25,NI,F,nouveaux,reponse,2,Ministère de l'agriculture et de l'alimentation,agroalimentaire,1
2017-07-25,NI,H,anciens,attente,3,Ministère de l'action et des comptes publics,fonctionnaires et agents publics,1
2017-07-25,NI,H,anciens,retrait,1,Secrétariat d'État, auprès du ministre de la cohésion des territoires,prestations familiales,1
2017-07-25,NI,H,nouveaux,attente,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,aménagement du territoire,1
2017-07-25,NI,H,nouveaux,attente,3,Ministère de l'agriculture et de l'alimentation,agriculture,1
2017-07-25,NI,H,nouveaux,attente,3,Ministère de la cohésion des territoires,aménagement du territoire,1
2017-08-01,GDR,H,anciens,attente,3,Ministère de la cohésion des territoires,logement : aides et prêts,1
2017-08-01,GDR,H,anciens,attente,3,Ministère de la justice,lieux de privation de liberté,1
2017-08-01,GDR,H,nouveaux,attente,3,Ministère de l’intérieur,services publics,1
2017-08-01,GDR,H,nouveaux,attente,3,Secrétariat d'État, auprès du Premier ministre, chargé de l'égalité entre les femmes et les hommes,égalité des sexes et parité,1
2017-08-01,GDR,H,nouveaux,reponse,3,Ministère de l'Europe et des affaires étrangères,politique extérieure,1
2017-08-01,LC,F,anciens,attente,3,Ministère des outre-mer,outre-mer,1
2017-08-01,LC,F,nouveaux,attente,3,Ministère de l'économie et des finances,banques et établissements financiers,1
2017-08-01,LC,F,nouveaux,attente,3,Ministère de l'économie et des finances,commerce et artisanat,2
2017-08-01,LC,F,nouveaux,attente,3,Ministère de la cohésion des territoires,aménagement du territoire,1
2017-08-01,LC,F,nouveaux,reponse,0,Ministère des solidarités et de la santé,établissements de santé,1
2017-08-01,LC,F,nouveaux,reponse,0,Ministère des solidarités et de la santé,professions de santé,1
2017-08-01,LC,F,nouveaux,reponse,1,Ministère de la transition écologique et solidaire,nuisances,1
2017-08-01,LC,H,anciens,attente,3,Ministère de l'action et des comptes publics,retraites : généralités,1
2017-08-01,LC,H,anciens,attente,3,Ministère de l'éducation nationale,communes,1
2017-08-01,LC,H,anciens,attente,3,Ministère de la cohésion des territoires,logement,1
2017-08-01,LC,H,anciens,attente,3,Ministère de la cohésion des territoires,papiers d'identité,1
2017-08-01,LC,H,anciens,attente,3,Ministère de la cohésion des territoires,postes,1
2017-08-01,LC,H,anciens,attente,3,Ministère de la transition écologique et solidaire,animaux,1
